username,timestamp,likes,komentar
ma.darma_,13/1/2026, 01.52.43,0,"Food estate merugikan negara dan merusak alam, kereta cepat merugikan negara, IKN bikin APBN defisit. Kenapa otaknya ga dipriksa?"
anandazabri,12/1/2026, 21.07.24,0,"Biarkan APH penegak hukum bekerja sesuai dengan TUPOSKSI nya. Kita tidak perlu menggiring opini atau tergiring oleh opini orang lain, yang seolah-olah NADIEM itu tidak bersalah sedikit pu. Itu suatu hal fatal dalam pembuktian hukum. Terbukti atau tidak terbukti.. hanya fakta sidang lah yang akan mengungkap dan ingat..!!! pembuktian itu tidak akan berdiri sendiri, karena kasus ini melibatkan banyak orang dan bahkan ada para pihak yang sudah mengembalikan uang yang diterimanya dari kasus ini. Jaksa tidak akan menetapkan seorang KORUPTOR sebagai TERSANGKA kalau tidak ada bukti permulaan yang lengkap. Tunggu saja APH itu bekerja. Yuk.. hormati proses hukum yang sedang berjalan. Dalam hukum acara kita.. seseorang itu tidak saja dianggap KORUPSI kalau tidak ada aliran dana atau KORUPTOR itu menikmatinya sediri, tetapi juga karena kebijakan yang dibuatnya.. karena kelalaiannya dalam menjalankan tugas menimbulkan kerugian negara...itu disebut juga sebagai korupsi... dan sudah jelas mensreanya. Pertanyaannya adalah...apakah benar kasus NADIEM MAKARIM dalam DUGAAN KORUPSI LAPTOP CB ini menimbulkan kerugian negara? Yuk kita tunggu pembuktiannya di pengadilan. Jaksa itu juga gak mau salah menetapkan seseorang sebagai TERSANGKA. Kemudian..NADIEM itu juga manusia biasa.. yg tidak luput dari salah.. dia bukan malaikat.. sekecil apapun dugaan korupsi laptop ini.. PASTI ada andil dia di dalam lingkaran itu... karena dia seorang pembuat kebijakannya. Paham ya.. Wallahualam"
budijant01,12/1/2026, 17.53.06,0,"Apa dosa Nadim???"
mridhoss,12/1/2026, 16.02.00,0,"Kasian Pak Nadiem... sedih dwngar pledeo nya"
aditagg,12/1/2026, 13.39.11,0,"Yg dikasusin ini itu ga pernah terjamah 😂"
myrachelhome,12/1/2026, 13.06.12,0,"Kemahalan sih intinya itu chrome book, mayoritas pemenang tender merek lokal yg ter afiliasi, mau berapa harganya tsrah yg jual kalau dimasukkan ke e-catalog, tinggal yg pintar itu pemilihan harga.. kan banyak vendor yg lbh murah..."
omnicco,12/1/2026, 12.08.22,0,"Yang diributkan Mark Up. Btw beli via E Katalog. Diawasi Ke7aksaan & BPK. Truss rugi nya di mana ?? 7aksa memang Halu parah !! Tangkap tuh Silpesterrr 🤑🤑😡😡"
arachmadiputra,12/1/2026, 10.45.01,0,"kapan sih negara didominasi orang2 kompeten kek si bapak² menkeu"
_junbm,12/1/2026, 10.28.18,0,""
pujastini,12/1/2026, 09.40.21,0,"Rakyat lebih bingung lagi😢"
ragiladimurtopo,12/1/2026, 09.00.57,0,"""pak Nadiem, jangan takut... Anggarannya di perbesar saja"""
sakasemara,12/1/2026, 08.52.47,0,"Guys, fokus ke kongkalikong sebelumnya, ada staffnya yang masih buron itu harus ditangkap"
m.afdhal10,12/1/2026, 08.30.25,0,"Cairrr"
dcomputare,12/1/2026, 08.28.43,0,"gara2 CDM laptopnya gak bisa di Duitkan kali 😂"
izay.rony86,12/1/2026, 08.14.58,0,"Coba pak nadiem jgn geser dari gojek mungkin hasil akhirnya gak akan seperti ini pak...😢"
hartatic227,12/1/2026, 06.45.13,0,"Hemm setujuh pak Ahok😍😍"
maria_bibit,12/1/2026, 06.12.49,0,"Ketoprak humor ala konoha .. Kalo maling ngaku , penjara penuh .. 😂😂😂"
frmnferd,12/1/2026, 05.50.25,0,"E Katalog?? inaproc ?? 😂😂😂😂 website yg maunya pengen kek Shopi nya plat merah, begitu di akses sering nge down, sistem banyak bug.. Entah negara keluar brp duit buat built up website ini.. 😂"
shiddiqbarker,12/1/2026, 05.00.48,0,""
lunacianhustle,12/1/2026, 04.32.19,0,"lebih percaya google dibandingkan termul"
yohaneswilliam12,12/1/2026, 01.13.23,0,"Kan yang menikmati uangnya si lanhut wowkwwkwk"
maul_lana_9,11/1/2026, 21.08.39,0,"Yg nyuruh nya gak di panggil2"
wu3nlong,11/1/2026, 20.35.59,0,"Nadiem: mending gw di GOJEK aja, gak mau jd menteri😢"
