username,timestamp,likes,komentar
lilistea401,16/5/2026, 04.06.57,0,"astagforullah ...Allah tidak akan diam melihat umatnya di zolimi , pak menteri yg baik 🙌"
kontruksi_dan_bubut_rubber_rol,16/5/2026, 03.46.44,0,"NADIEM KORBAN PERAMPOK AN, DNG CARA DIPIDAKANAN OLEH GANK SOLO DAN OLIGARKI BRENGSEK"
santosodjuanto,15/5/2026, 23.49.25,0,"No viral no justice"
afrzl_4u,15/5/2026, 22.48.52,0,"lihat sg ku😢"
wasfallen_,15/5/2026, 22.42.58,0,"""saya sudah tidak tahu lagi apa harapan bagi anak² muda di negara ini"" that's hard."
msihabn,15/5/2026, 22.42.39,0,"Saran buat anaku : Jgn pernah masuk pemerintah"
49forloveee_,15/5/2026, 22.42.31,0,"rip sila ke 5"
nanisaini12,15/5/2026, 22.34.17,0,"org di Indonesis no 1 jokowi ,org gk brani sm org yg plonga plongo ,jedral bintang 5 pun gk brani , takut sama uang nya"
mikaelputraa_,15/5/2026, 22.23.18,0,"indonesia takut ya kalo orang orang pinter berkumpul"
ninaaljufri_,15/5/2026, 22.20.32,0,"Sedih klo org baik masuk penjara"
qwertyuiowlwl,15/5/2026, 22.11.00,0,"@ Prabowo"
dheka_makeup,15/5/2026, 21.51.35,0,"😢😢😢😢😢"
jessy_susan,15/5/2026, 21.40.06,0,"Tenang aja pak...sdh ada bukti bahwa pak ahok dulu dizolimi...orang2 yg zolim itu blm bertobat  sdh mati...yg nuntut bapak jg bentar lg akan terima balasan dan hukuman dr ALLAH  krn banyak yg doakan bapak nadiem dan pak ibam"
muhbalex,15/5/2026, 21.20.40,0,"Goto akan diambil alih kah?🤔"
youpilatul,15/5/2026, 21.13.57,0,"Wkwkwk. Die kesel. Ude kerja ngajuin anggaran yg gede malah di suruh jokowi bikin lagi biar lebih gede lagi. Eh di bikin gede. Sekarang dia cuma dapat hukumannya ekeke tolol. Sama  lu di jadiin menteri semas jokowii emang buat tumbal. Lu aje yg gila jabatan. Sampe mata hati lu tutup gag mau liat keburukan jokowi wkwkw akhrinya sekarang apa yg lu tanam itulah yg lu tuai wkwkw. Tungguin aja disel. Nanti kalo jokow masuk. Lu gebukin dia di dalem wkwkw"
ery_saputra56,15/5/2026, 20.53.36,0,"Tenang pak Nadiem itu semua anjingg sekali lgi ANJINGGGG"
just.bajijah,15/5/2026, 20.48.16,0,"goblok nya itu loh ngegoblok banget, mereka tau indonesia bakal maju maka nya jadi kaya gini"
khuma_yrh,15/5/2026, 20.35.49,0,"santet aj ga si ni pemerintah, ga ikhlas banget"
vatysem,15/5/2026, 20.00.03,0,"Jaksa 🐖🐖🐕🐕🐕💩💩💩"
laanahllaa,15/5/2026, 19.46.08,0,"google pun gabakal mungkin investasi sama orang bodoh"
anwarr_699arr,15/5/2026, 19.44.59,0,"Pe*b*n*h kan di lindungi pak be*al juga di lindungi negara. Negara nangkep yg jujur dan baik"
sukila56,15/5/2026, 19.39.26,0,"Kenapa dan ada apa Jokowi aman aman saja koh tidak di panggil di pengadilan 🤯🤦"
myustito,15/5/2026, 19.36.20,0,"adili jokowi pki"
andialianto_lian,15/5/2026, 19.34.03,0,"Resiko pak kerja ikut pemerintah"
choirul_musthofa,15/5/2026, 19.24.31,0,"Indonesia benar-benar sakit, susah disembuhkan"
aimandzkwnnn,15/5/2026, 18.50.53,0,"bener2 ga ngotak tuntutannya sumpah.. 😢"
novitaaliyaw,15/5/2026, 18.41.04,0,"Semoga pak nadiem dapat keadillan dari Allah"
dsy251280,15/5/2026, 18.36.04,0,"Bebaskaaaaannnn !!!! 🔥🔥🔥🔥"
slametsugiartoo,15/5/2026, 18.16.56,0,"Si ceo sedang menunjukan bukti tanpa pelaku, dan si ceo menangkap terduga pelaku tanpa bukti.👏"
dudung_hermawan,15/5/2026, 18.16.03,0,"Nah kan bapak aja orang kaya begitu gimana yg di bawah"
raden.yusuf27,15/5/2026, 18.15.01,0,"Iya Allah yg sabar Allah yg akan membalas pak itu jaksa ga punya hati"
arfanade,15/5/2026, 18.09.38,0,"Kalu gitu buruan usut juga IKN dan WOOSH..... biadab lu muldongo...."
jr.muxui,15/5/2026, 18.00.20,0,"Jika ini info ini Valid, maka Rakyat Indonesia akan mulai "" surfing Dan exploring"" Jaksa penuntut umum Dan Hakim...pak JKW sooner harus "" Hadir ""...let's see later..."
why.soda,15/5/2026, 17.39.11,0,"Sudah berjasa bagi rakyat indo uang kerja di gojek mau di sikat pemerintah , ga tau diri banget kejaksaan 👏"
tugastri,15/5/2026, 17.33.42,0,"Hukum mati koruptor pengemplang uang rakyat jgn hanya maling ayam sj yg digebuki"
kece_aku_ni,15/5/2026, 17.08.37,0,"💪💪 males komen"
ptriananrlafifah__,15/5/2026, 17.07.34,0,"Emg tolol hukum di Indonesia tuh"
surajisuraji1246,15/5/2026, 16.42.43,0,"Kapoooòook"
syah_ma,15/5/2026, 16.41.18,0,"Kereta cepat negara rugi triliunan tapi ko aman2 aja, waras ga sih ini para pemimpin negara.??"
hamesa2710,15/5/2026, 16.29.49,0,"Seret saja presidennya yg dulu, bika2an lebih baik dari pada nanggung sendiri bang......"
hidupbebas09,15/5/2026, 16.27.38,0,""
d1ecastshowroom,15/5/2026, 16.10.32,0,"Udh. Bilang aja. Ini kerjaan jokowi. Selesai pak"
rasmini5706,15/5/2026, 16.04.56,0,"Hukum ga adil indonesia aneh"
kepinchiang,15/5/2026, 15.51.45,0,"Bebas Khan pak Nadiem"
hendri.p.mangende,15/5/2026, 15.19.05,0,"Mana ada maling ngaku..."
wdhrhmn_,15/5/2026, 15.14.39,0,""
anatasya.sandra,15/5/2026, 15.13.46,0,"miris......"
