username,timestamp,likes,komentar
hermanstoryf,24/5/2026, 14.55.36,2,"aneh ya. sbenernya secara gamblang dan blak² an justru pemerintah malah pernah melakukan kejahatan jauh lebih parah dan merugikan. yg dirugikan mungkin tidak secara kasat mata terlihat oleh hukum tapi jelas² merugikan rakyat ( karna memakai uang negara yg dikumpulkan dsri pajak rakyat )."
ricomakagiansar.id,27/5/2026, 13.05.38,0,"Secara hukum, menteri tidak menghilangkan hak pemerintah daerah, melainkan menjalankan fungsi pengendalian karena DAK bersumber dari APBN. Sifat DAK bersifat mengikat dan ini diatur dalam UU No. 1 Tahun 2022 tentang HKPD yang menegaskan bahwa DAK penggunaannya telah ditentukan oleh Pemerintah Pusat."
azisjoker,22/5/2026, 02.07.50,9,"Kalo niat jahat ya semua orang bisa dipenjara 😂😂😂😂"
dekirumadeyaruu,22/5/2026, 04.06.56,23,"dari tulisannya MBG terlebih KOPDES berarti tinggal menunggu waktu"
googleyes1100,22/5/2026, 00.00.35,43,"Permendikbud no 5 2021 dibuat utk survive dari ketinggalan akibat Covid19. Ga wajar dibahas 2025/2026 krn berbeda kondisi. Jaman Pandemi orang bertahan hidup dan harus tumbuh kembanh menjadi manusia Unggulan. Bukan hanya pasrah dalam keadaan terbatas"
jackjillooo,28/5/2026, 03.10.45,1,"IKN yang jauh lebih besar kerugian Negara daripada kasus Chromebook tolong diseret juga"
terea.project,22/5/2026, 03.41.26,11,"Masih percaya hukum di Indonesia??"
tomasoaarchie,21/5/2026, 23.14.54,28,"Dari penjelasan di atas jelas sekali kasus ini dipaksakan. Ingat karma aja kalian."
adhi.10969,22/5/2026, 06.52.27,5,"lsg saja, intinya di bayar berapa ?"
idmu.apa23,21/5/2026, 20.50.45,5,"Harga crhomebook yg dibeli Pak Nadiem lebih mahal dari harga jual di pasaran?"
drudy_n,22/5/2026, 03.06.02,12,"Knp selalu Non partai di bantai? Tom. Archanda. Dahlan. Habibie. Bikin akademisi lebih baik berkarir di LN"
guamulusi_,27/5/2026, 10.42.18,1,"Di pernyataan ini . Katanya niat jahat tidka di ukur dari gelar atau status sosial , tapi di slide berikutnya bilang .""justru karna di lulusan harvard,tindakannya di anggap sebagai keputusan yg terukur dan sadar ,bukan karna tidak tahu"" .. bingung jadinya"
andsisko,21/5/2026, 19.34.35,26,"Ijin berpendapat yah, dari fakta² persidangan, justru jpu tak mampu mempertahankan argumentasi atas tuduhan²nya. Memaksakan sesuatu yg tidak rasional bukan sikap yang fair. Semoga akun ini fair melihat kasus nadiem, pelajari semua, tonton rekaman sidangnya secara marathon, bedah argumentasi² saksi² ahli, baru  silahkan berpendapat/bernarasi. Sy setuju kejahatan kerah putih itu keji, koruptor hrs diberangus, tapi tlg fair melihat kasusnya. Sayang baget, akun ini bagus tp entah kenapa di kasus NM tidak presisi membidik persoalan."
aryo.dsgn,23/5/2026, 16.43.21,1,"​1. SOAL MENS REA — ""NADIEM PASTI TAHU & SENGAJA"" Katanya: Karena lulusan Harvard, gak mungkin gak ngerti, jadi Mens Rea dianggap pasti ada. Faktanya: Mens Rea gak bisa dibuktiin cuma modal logika ""dia Harvard, pasti tahu"". Di hukum pidana, niat jahat harus dibuktiin pake alat bukti konkret, bkn asumsi latar belakang pendidikan. Tim kuasa hukum udah negasin kl jaksa gagal buktiin niat jahat dalam pengadaan Chromebook. Gak ada bukti aliran dana, kerugian negara, atau mark-up yg terbukti di persidangan. Argumen ""lulusan Harvard pasti punya Mens Rea"" itu cuma ad hominem, bkn bukti hukum. Logika ini bahaya bgt karena ngehukum orang cuma modal identitas, bkn perbuatan yg terbukti. ​2. SOAL KEWENANGAN — ""MENTERI GAK BOLEH ATUR SPEK TEKNIS"" Katanya: Permendikbud 5/2021 langgar PerPres 16/2018 krn spek teknis itu domain PPK, bkn Menteri. Faktanya: Di sidang, Nadiem ngebantah pernah ttd spek teknis Chromebook atau nunjuk tim teknis. Kewenangan itu ada di level direktur & dirjen. Ini justru sejalan sm argumen di atas — spek teknis emang ranah PPK/Dirjen, bkn Menteri. Kalau ttd spek teknis aja gak pernah, dalil pelanggaran PerPres jadi lemah bgt. Soal Permendikbud 5/2021, Menteri emang berwenang terbitin Petunjuk Operasional DAK Fisik (mandat PerPres 123/2020). Terbitin regulasi itu bkn tindak pidana, kecuali ada bukti niat jahat & kerugian negara yg nyata. ​3. SOAL ALIRAN DANA Katanya: Korupsi nyata krn ada skema sistematis alirin APBN ke Google. Faktanya: Kuasa hukum udah tegas bilang gak nemu bukti aliran dana ke Nadiem selama sidang. Nadiem jg ngebantah perhitungan uang pengganti triliunan itu, krn angkanya dari valuasi saham GoTo pas IPO, bkn duit tunai pribadi. Ini beda jauh: kenaikan valuasi saham perusahaan yg didiriin sblm jadi menteri gak bisa langsung dituduh hasil korupsi. Hubungan sebab-akibatnya (kausalitas) hrs dibuktiin, bkn dikira-kira. ​"
akbar.zias,24/5/2026, 08.14.39,1,"nalar begini kenapa ga di gunakan dengan presiden terdahulu yg sering di mention di pengadilan oleh terdakwa korupsi???"
chelldeahaikal,22/5/2026, 19.21.30,2,"kocak nya kaum sebelah ngomong ""gaada aliran dana ke rekening Nadiem""😂😂 kocak, maling ayam aja berusaha supaya muka nya ga keliatan apalagi sekelas miliaran yakali di taro di rekening pribadi. polos banget😂"
holzerdwisario,23/5/2026, 19.46.49,0,"Ini dia, ada hal yg menjadi trobosan dari pak @nadiemmakarim  yang memporak-porandakan kebiasaan/pola celah buruk dari para orang2 yg merupakan ""koruptor yang sesungguhnya"". Makanya, ketika hal itu walaupun merupakan sesuatu yg bagus untuk mempersempit celah para orang2 yg sesungguhnya bermental koruptor yg terusik gegara perubahan yg dilakukan pak @nadiemmakarim, tetap kebaikan tidak boleh tumbuh dan berkembang di Negara Konoha, itulah prinsipnya. Kalau menyoal kasus pak Nadiem yg saat ini sdang bergulir di Pngadilan Tipikor pada PN Jakpus, kalaupun ada keadaan baru yg mungkin tidak seturut dengan aturan main yg biasanya dalam proses pengadaan chroombook tsb, pertanyaannya kemudian:"
ridwanseptya,22/5/2026, 03.26.08,8,"Project MBG apa kabar ?"
iwandazie,22/5/2026, 00.15.32,4,"Kerugian negara berapa sebenarnya? Kok banyak versi dan berbeda antara BPK, BPKP, Jaksa, Hakim.. Aparat hukum kok tidak kompak..emang oknumnya kurang pandai atau banyak metode..Bisa jadi perhitungan ahli hukum lain malah tidak ada kerugian negara..😂"
imamhakim1207,22/5/2026, 01.41.23,9,"Stau saya Istilah ""diduga"" (dugaan/sangkaan) tidak dapat dijadikan alat bukti sah dalam tuntutan persidangan karena statusnya hanya sebatas asumsi atau tuduhan awal. Agar suatu dakwaan atau tuntutan memiliki kekuatan hukum, fakta di persidangan harus dibuktikan dengan alat bukti yang sah menurut undang-undang."
umifa02,21/5/2026, 21.18.56,11,"@jeromepolin @maudyayunda @ralineshah"
liiioon_ss,22/5/2026, 22.50.43,1,"Kata Nadiem daripada bayar Hotman mahal mending bayar artis dan influencer 😂😂"
mgmelyani,22/5/2026, 01.02.15,6,"Niat jahat 😂😂😂 sedangkan yang korupsi benar2 besar ditoleransi 😂😂 😂 @pandji.pragiwaksono @niluhdjelantik"
kevandromiru,21/5/2026, 21.53.30,6,"Setuju dgan penjelsannya,,,"
jun.m.key,22/5/2026, 00.11.35,6,"kalau buat orang kota chromebook itu kaga gunaa.. silahkan cek penggunaanya di daerah... kalau apa yang dilakukan bung nadiem salah coba kupas kaos kaki dan lain2..😂😂"
wildrose9117,22/5/2026, 07.09.09,0,"HIDUNGNYA AJA SUDAH MEMPERLIHATKAN KELICIKAN WATAKNYA"
alcoco89,22/5/2026, 02.33.53,10,"Bagaimana dgn dana PIP yg diambil alih DPR??"
herdantosarju,21/5/2026, 19.39.51,8,"kalau aku baca soal keputusan ada di pusat, kok mirip kopdes"
riq17,21/5/2026, 21.15.20,20,"Bingung sama fomo.. Koruptor kok dibela... 🤦‍♂️"
nsr_otre,22/5/2026, 04.44.26,2,"tukang ojek diangkat jadi mentri, pendidikan jd amburadul"
mario_kenyox,21/5/2026, 21.52.28,9,"Karna dia pintar, maka pintar juga dia mau mengakali sistem"
sopyansewu,21/5/2026, 23.51.35,5,"Nadiam adlah koruptor yang belaga teraniyaya oleh keadilan, drama para koruptor yang rakus 😂"
myownprivate___,21/5/2026, 20.02.45,6,"Lha, itu kan kamu ngerti ya. Penentuan spec dan masalah teknis lainnya adalah weqenang PPK. Mengapa dalam sidang PPK hanya dijadikan saksi? Harusnya tersangka utamanya dia."
adlan.tk,22/5/2026, 01.45.51,2,"Sama MBG juga noh, ide bagus biar kaya anak2 Korea/cina, tapi kebijakannya keliru pendistribusiannya bapuk banyak dana bocor menguntungkan pihak2 tertentu. Tapi kaga dihukum orangnya yang bikin ide"
jen68itink0802,21/5/2026, 18.23.08,10,"Demi Kepastian HUKUM  KENYAKINAN dan KESIMPULAN masih perlu di tinjau dengan  PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 123 TAHUN 2O2O TENTANG PETUNJUK TEI(NIS DANA ALOKASI KHUSUS FISIK TAHUN ANGGARAN 2021 ⤵️ PERATURAN MENTERI PENDIDIKAN DAN KEBUDAYAAN REPUBLIK INDONESIA NOMOR 5 TAHUN 2021 TENTANG PETUNJUK OPERASIONAL DANA ALOKASI KHUSUS FISIK REGULER BIDANG PENDIDIKAN TAHUN ANGGARAN 2021 ⬇️ PERATURAN PRESIDEN REPUBLIK INDONESIA NOMOR 16 TAHUN 2018 TENTANG PEDOMAN PENGADAAN BARANG/JASA PEMERINTAH Kesalahan dalam penafsiran dan Pemahaman tentang Peraturan dapat menimbulkan Kesimpulan yang SALAH, Berdasarkan hasil analisa dari ketiga peraturan tersebut @nadiemmakarim tidak dapat dipersalahkan dalam kasus Korupsi Pengadaan Chromebook, itu sebaiknya kembalikan Kasusnya kepada Ranah Pengadaan Baranga dan Jasa dan Pelakunya (KPA,PPK, PENYEDIA)karena merekalah yang menandatangani FAKTA INTEGRITAS dalam Proses Pengadaan."
just_ian45,22/5/2026, 02.05.56,1,"Briefing baru lagi nih ya 😂 cc : @nadiemmakarim"
rrani.34,21/5/2026, 21.04.03,3,"Baru faham saya setelah ada penjelasan seperti ini"
smua_akan_kembali_,21/5/2026, 22.43.29,4,"😮😮😮 gimana dg advokasi/pendampingan inspektorat sejak awal pembuatan DOKUMEN PENGADAANNY??? cc @gustiajudewi"
ar.lendy244,22/5/2026, 00.15.55,4,"JPU menuntut 18 thn hampir maksimal adalah kode bgm NM bisa menjadi justice collaborator atas apa yg dilakukannya, kemungkinan ada orang yg lebih berkuasa yg memerintahkan tindakannya."
roy_riansyah,22/5/2026, 04.14.17,1,"Apakah keterangan 'pemerintah daerah' dlm persidangan bertentangan dan memberatkan pak menteri? Bagaimana?"
kocanko007,21/5/2026, 22.18.03,11,"Jgn bacot bro ... Prof yg membuat uu tipikor aja sdh melihat kejanggalan kasus ini. Kerugian ko pakai asumsi? Keputusan MK sdh jelas bahwa makna kerugian negara adalah materi yg real bukan asumsi. Lw buka live discussion lw gw samperin."
valencius_i,22/5/2026, 03.14.01,2,"Berbelit belit gmana bisa jadi proyek nasional kalo ga 1 perintah"
areek_pejuang,21/5/2026, 23.14.23,4,"anda admin media mao hrs netral dan memberitakan secara utuh agar publik jlas"
dadanrealityclub,22/5/2026, 03.17.22,1,"Kalau pada akhirnya Nadiem terjerat hukum, ini jadi preseden yang sangat buruk untuk kedepannya. Bisa jadi presiden sekarang di 5 atau beberapa tahun kedepan bisa terjerat pidana juga karena mematikan hak daerah karena mbg."
bagus_rio_dm,21/5/2026, 22.52.48,2,"Harus dibredel seperti ini biar jelas dan rinci dimana letak kesalahannya sehingga bisa di perkarakan kasus korupsi,soalnya titik beratnya yang beredar ini soal tidak menerima uang,tapi faktornya bukan itu aja ada faktor lain"
sihabudin_kidy,21/5/2026, 23.46.28,3,"Dipaksakan bgt yaa 😂😂😂"
mas.no__,22/5/2026, 00.38.30,1,"ngopi, udut, saambil ketawa liat komen netizen. kadang geleng geleng.  akhir zaman eranya fitnah.  Cukuplah Allah sebagai penolong kami."
linggaexor,1/7/2026, 20.50.00,0,"Mau di majukan biar gak tertinggal 30 tahun ternyata emng sesulit itu"
7piala,11/6/2026, 14.11.09,0,"Bebaskan Nadiem"
astrid.sarah91,7/6/2026, 13.21.17,0,"sehat trus pak jaksa jangan lelah lawan koruptor yg banyak d bela infulencer hama"
yourtailoronline,3/6/2026, 23.22.59,0,"KONTEN DI DANAI SETAN"
saadaqiqah,3/6/2026, 09.59.24,0,"🤣"
_wahyubintoro,3/6/2026, 06.35.34,0,"Semua yg ditulis di slide 4 udah dilakukan Gibran, Prabowo, dan Keluarga Oslo 😂"
rain.robokta,2/6/2026, 17.28.15,0,"Klo proses hukum ny aja salah, iya hasil nya suka suka lah"
gilang_arizky,2/6/2026, 09.08.37,0,"Merk Laptop , Chrome vs Windows. Dari sini aja udah keliatan penulis dan yg merepost tdk punya KAPABILITAS sama sekali di bidang teknologi"
