username,timestamp,likes,komentar
sylviaikhsan.gallery,11/7/2026, 12.53.39,0,"Apakah ada pegawai2 dari Kementerian Pendidikan, Riset dan Teknologi dan Kebudayaan yg berpihak kepada Nadiem? Mereka yg mestinya tahu benar apa yang terjadi. Bukan Tim Bayangan yg 400 orang itu ya..."
dodiet.wp,11/7/2026, 12.37.47,0,"#hakimbrengsek #hakimbrengsek #hakimbrengsek"
teshoki97,11/7/2026, 12.32.55,0,"DI Indonesia koruptor sukses aman kebal hukum, saya juga bercita cita jadi koruptor di Indonesia, di alam gaib dan luar angkasa,uang membuat kebal hukum,di penjara pun masih bisa kuliah, hidup koruptor kalian panutanku"
anggalipro,11/7/2026, 12.29.09,0,"Jangan percaya koruptor. Kasus nadim ini beda dg tom lembong"
aris_fazeriandy,11/7/2026, 11.50.20,0,"Ya ama Tuhan Yang Maha Esa"
mmualim20,11/7/2026, 10.40.17,0,"Drama.."
ninee_octa,11/7/2026, 10.36.54,0,"Hatiny menangis😢"
raja_coment90,11/7/2026, 05.11.23,0,"Hukum bner bner udh 🥀ingat pak hakim balasan Allah SWT lebih pedih"
ramadhankarsono,11/7/2026, 04.24.03,0,"Minta tolobgnya ke jokowi lah yg angkat dia"
blueskyvanilla,11/7/2026, 01.12.23,0,"Presiden mana Presiden??"
liztha_ikanduyung,11/7/2026, 00.41.51,0,"Awas Rafi Ahmad kamu NNT bs bernasib sperti ini"
alchanif,10/7/2026, 21.48.00,0,"Malingggg"
en91339,10/7/2026, 21.37.27,0,"Bapak prabowo, jangan cuman diam disaat ada orangbyg harus benar benar dilindungi dari Fitna, Mana keadilan yg ada dinegara ini, tapi Rakyat akan selalu mendukung orang orang yg suda ad jilan yg benar."
indriati_indahtj,10/7/2026, 21.13.53,0,"Terus lah berdoa pak pasti ada Mujijad Tuhan Yesus memberkati mu pak Nadim"
jes74328,10/7/2026, 20.37.35,0,"Bapa presiden kok diam aja siiiiih.🤦‍♀️"
kembut_cok_audio,10/7/2026, 20.06.12,0,"Kerahkan seluruh rakyat Indonesia"
nurt69730,10/7/2026, 19.34.59,0,"ada Allah pak yg akn menolong orang jujur"
rainzirainzi,10/7/2026, 17.59.42,0,"harapan bpk ada di masyarakat yg memilih pak jokowi dan prabowo"
5204.abraham,10/7/2026, 15.49.06,0,"Ke Gus Samsudin aja"
fighter_single_07,10/7/2026, 15.37.59,0,"SANPAH TAIK. BIANG KEROK YG MENDUKUNG JOWOWI YA KAN LO JUGA SAMPAI MENGORBANKAN DATA DAN JUAG UANG POTONGAN DRIVER OJEK."
renjana669,10/7/2026, 12.06.43,0,"Justru orang pintar dan cerdas biasanya pintar cari celah"
soemarninurmidin,10/7/2026, 10.17.35,0,"Serahkan semua pada Allah yg maha mengetahui..🤲"
neengnongg63,10/7/2026, 08.00.19,0,"Sehat selalu Pak Nadiem. Kami rakyat tau kerasnya berjuang mu pak. 🤲"
neengnongg63,10/7/2026, 07.59.52,0,"😭😭😭😭"
charisma_ment3ng,10/7/2026, 07.28.45,0,"Iya Pak....yg sabar Pak ...org yg memfitnah & melempar batu sembunyi tangan akhirnyaa satu persatu terbongkar Pak...mentang"" org bodoh yg baru masuk pemerintahan dibikin kambing hitam .  Allah yg  memperlihatkan yg sesungguhnya akhirnya...."
