username,timestamp,likes,komentar
reeqt,16/5/2026, 01.40.23,0,"Apalah"
chairoel_azzam,16/5/2026, 00.55.14,0,"Negara lawak lawak."
instagraldisk,16/5/2026, 00.43.07,0,"Tumbal Rugi? Mending urus makanan MBG 2026 d cegah K0rupny y.? Tiap hari berjalan depan mata bukannya d cegah pembiaran dibiarkan sj kh?"
instagraldisk,16/5/2026, 00.42.59,0,"Tumbal Rugi? Mending urus makanan MBG 2026 d cegah K0rupny y.? Tiap hari berjalan depan mata bukannya d cegah pembiaran dibiarkan sj kh?"
its_noe_not_noe,15/5/2026, 23.12.06,0,"Coba @tempodotco selidiki, ini pesanan siapa sih yg kriminalisasi @nadiemmakarim dakwaannya gak masuk akal, dibuat2, hasil audit @bpkp_id juga lemah, JPU @kejaksaan.ri juga lemah bukti2nya, kalau sampai hakim memutuskan gak adil, fix ada rekayasa, coba diselidiki dong"
e_l_l_a__ary_e,15/5/2026, 22.38.54,0,"Korupsi gak harus aliran dana ke rekening pribadi. Yang harus ditelusuri : bypass tender utk CB. Lalu G**gle invest ke Goj**. Indikasinya kuat. Belum lg merger Go*o. Gak 100% benar, kayaknya si bapaknini. Tp hukuman mmg harus iteliti lg. 2 wrongs don’t make a right."
imamproperty_77,15/5/2026, 22.22.24,0,"Tuhan tidak tidur Pak Nadiem"
nahdah_zhafirah,15/5/2026, 21.56.57,0,"@googleindonesia @google #justicefornadiem"
lilihuaaa,15/5/2026, 20.45.33,0,"Posisi JAKSA tidak tersetuh sedikit pun"
kangpajar89,15/5/2026, 20.02.53,0,"Jaksa oh jaksa kapan rekeningnya di cek"
joshua_ray_b_m,15/5/2026, 19.57.22,1,"NEXT"
atur_mk,15/5/2026, 19.52.56,0,"RakyaT Indonesia 🇮🇩 BERSATU Untuk Nadiem 🔥🔥🔥"
sallehuseinibnuahmad_alaydrus,15/5/2026, 19.20.44,0,"Semoga Allah Swt menjaga dan melindungi mu sekeluarga pa nadiem,,semoga Allah Swt menghancurkan sehina2 nya di dunia dan di akhirat org2 yg sdh menzholimi mu pa nadiem 🙏😭🤲"
darmawanksmh,15/5/2026, 18.56.05,0,"Yang jadi masalah utamanya sudah jelas bukan persoalan Chromebook"
ga.dju,15/5/2026, 18.44.10,0,"Dari kasus Nadiem, kita belajar kalau Gerbang Tagihan memang bejat busuk"
ahmdsyf_72,15/5/2026, 18.41.37,0,"Lihat 3 bulan ke depan, apakah ada Hero ? 😂"
sekarpacekitchen_ofie,15/5/2026, 18.27.11,0,"Teruslah bersuara lantang Tempo"
andreutama_,15/5/2026, 17.45.58,0,"@prabowo dengan segala kerendahan hati saya pak. Mohon di bantu pak🙌❤️"
rani_sembara,15/5/2026, 17.44.41,0,"Koruptor itu otaknya lebih dari setan, setan takut naik haji koruptor bisa 3-4X naik haji.😂 Yang merusak bangsa ini dan bisa hancur itu para koruptor😂 koruptor kok dibela😂😂😂asu!!!"
jannatul_icha,15/5/2026, 16.31.06,0,"Dah bener jadi CEO malah nerimo ajakan king oslo buat jadi  mentri"
fns8219,15/5/2026, 15.33.35,0,"Ya gak perlu aliran dana pak , google gak gitu mainnya, yang jelas kamu ngunci spek itu namanya gak fair pak korup itu"
teofilusdipo,15/5/2026, 15.14.40,0,"Iki negoro opo seh"
kerong.nd,15/5/2026, 15.14.20,0,"Siap kepala babi, mau order apalagi admin tempo? Ada yang bisa tebak? 🤣"
estiawanemil,15/5/2026, 15.02.28,0,"Jahanam para oknum di republik ini"
anak_itik8,15/5/2026, 14.55.56,0,"TURUT BERDUKACITA ATAS GAGAL NYA SISTEM KEADILAN DI INDONESIA TERCINTA INI🔥"
androxsby21,15/5/2026, 14.05.46,0,"Kamu pantas divonis 18 tahun, sangat pantas, Kamu KECEWA ?! MARAH ?! , begitu juga dg pendukungmu, sekarang ayo dibandingkan, lebih banyak mana kecewamu dan pendukungmu, dengan ribuan siswa yg rumahnya jauh dari sekolah, yg ingin mendapatkan kesempatan secara fair utk berkompetisi mendapatkan sekolah negeri, tapi kau rengut mimpi mereka dg ZONASI dungumu, kau matikan harapan mereka dg membiarkan yg bodoh, malas belajar, tapi jarak rumahnya dekat bisa melenggang mudah mendapatkan sekolah negeri, kau rampas kerja keras mereka dalam belajar dengan menghapus UNAS dan menggantinya dg nilai rapor yg bisa direkayasa, itu pun cuma kamu kasih kuota 15%, 18 tahun vonis hukumanmu mungkin itu hasil doa ribuan orang yg kamu kecewakan, orang tua dan siswa, termasuk aku salah satunya, anakku no 3 terbaik di sekolah, nyaris tidak bisa bersekolah di negeri, kalau bukan karena pertolongan-Nya, ga tau bagaimana bisa survive 4 tahun yg lalu, semoga cepat direalisasikan 18 tahun itu, aku bahagia, sungguh, bahagia sekali, tidak sedikitpun terbesit kekecewaan pada hukum negara ini padahal biasanya saya kecewa, khusus utkmu, yg membuat dunia pendidikan indonesia hancur ditanganmu"
pacenogemelanesia,15/5/2026, 13.59.29,3,"Jaksa menyidik, jaksa yg kluarin p21, jaksa jg yg menuntut, GAK ADA DUAL KONTROL, Reformasi UU Kejaksaan mereka ckup jd penuntut sj biar bs dual kontrol mengecek kelayakan berkas dr penyidik kpk dan Polri biar gk dipaksakan kasus2 kriminal lainnya. Salam waras 👏"
regitaadc,15/5/2026, 13.38.22,0,"ini dzolimnya mengakar sampe ke akar akar gila, najiznyaa"
aiielvilla,15/5/2026, 13.32.05,0,"😢😢😢😢"
rickyvanberlin,15/5/2026, 13.19.22,0,"Tau kan cara melawan ketidakadilan hukum di negri ini??? ""The Viral Netizen and Peoples""  yukk gassss.. @dpr_ri ehmm pak JPU nya ada yg berulah lagi nih pak.. diem aja pak?? Ehm pak @prabowo @kejaksaan.ri .. coba telisik hey @official.kpk spt nya ada kejanggalan dari hasil vonis hakim tersebut.. jaksa dinegri ini banyak yg tidak kompeten dan lurus.."
dreamy_bunda,15/5/2026, 13.02.29,0,"#savenadimmakarim"
nandasbs_,15/5/2026, 12.54.31,0,"Malu ga pak? @prabowo"
patrisyahrir_,15/5/2026, 12.44.00,0,"Yg mantan napi pasti tau permainan jaksa"
sucksmarobby,15/5/2026, 12.10.02,0,"@jokowi menterimu lho pak, tanggung jawab"
dasteria1,15/5/2026, 11.50.15,0,"Dan beritanya ud go international."
treas.30,15/5/2026, 11.24.20,0,"#BEBASKANNADIEM"
vandaaacp,15/5/2026, 11.01.33,0,"Hum"
egymolko,15/5/2026, 10.55.46,0,"ah itu jokowi kali yg untung"
yolan_vallyzsanta,15/5/2026, 10.42.11,0,"Nak, kalau kamu nanti pinter, sekolah di luar negri.. misal mau mengharumkan negara, bisa dari luar negeri kok nak ... .kembangkan sayapmu disana gak papa.🤍 (Nasehat untuk anakku)"
